2026-05-16 20:33:46 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Pipeline started
2026-05-16 20:33:46 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Start date: 1996-01-01, End date: 1999-01-01
2026-05-16 20:33:46 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Starting task: create_staging_tables
2026-05-16 20:33:48 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Completed task: create_staging_tables
2026-05-16 20:33:48 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Staging tables created successfully
2026-05-16 20:33:48 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Starting task: create_dimensional_tables
2026-05-16 20:33:49 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Completed task: create_dimensional_tables
2026-05-16 20:33:49 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Dimensional tables created successfully
2026-05-16 20:33:49 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Starting Excel load process
2026-05-16 20:33:50 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Loaded sheet: Categories
2026-05-16 20:33:51 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Loaded sheet: Customers
2026-05-16 20:33:51 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Loaded sheet: Employees
2026-05-16 20:33:53 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Loaded sheet: OrderDetails
2026-05-16 20:33:58 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Loaded sheet: Orders
2026-05-16 20:33:58 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Loaded sheet: Products
2026-05-16 20:33:58 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Loaded sheet: Region
2026-05-16 20:33:58 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Loaded sheet: Shippers
2026-05-16 20:33:58 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Loaded sheet: Suppliers
2026-05-16 20:33:58 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Loaded sheet: Territories
2026-05-16 20:33:58 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Excel load completed successfully
2026-05-16 20:33:58 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Excel data loaded into staging successfully
2026-05-16 20:33:58 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Starting dimension table update process
2026-05-16 20:33:58 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Executing dimension update script: update_dim_categories.sql
2026-05-16 20:33:59 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Executing dimension update script: update_dim_customers.sql
2026-05-16 20:33:59 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Executing dimension update script: update_dim_employees.sql
2026-05-16 20:33:59 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Executing dimension update script: update_dim_region.sql
2026-05-16 20:33:59 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Executing dimension update script: update_dim_suppliers.sql
2026-05-16 20:33:59 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Executing dimension update script: update_dim_shippers.sql
2026-05-16 20:33:59 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Executing dimension update script: update_dim_territories.sql
2026-05-16 20:33:59 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Executing dimension update script: update_dim_products.sql
2026-05-16 20:33:59 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Dimension table update process completed successfully
2026-05-16 20:33:59 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Dimension tables updated successfully
2026-05-16 20:33:59 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Starting fact table update process
2026-05-16 20:33:59 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Executing fact update script
2026-05-16 20:34:53 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Fact table update process completed successfully
2026-05-16 20:34:53 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Fact table updated successfully
2026-05-16 20:34:53 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Starting fact error table update process
2026-05-16 20:34:53 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Executing fact error update script
2026-05-16 20:34:53 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Fact error table update process completed successfully
2026-05-16 20:34:53 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Fact error table updated successfully
2026-05-16 20:34:53 | execution_id=f74f4fee-f18a-4368-8970-077e91bcc25b | INFO | Pipeline completed successfully
